,EventTemplate,Occurrences
77,{}::wakeEventHandlerThread,3
78,"en{interface}: channel changed to {channel},{change}",4
79,RTC: {variable} setting ignored,11
80,en{interface}: 802.11d country code set to '{country_code}'.,3
81,"ARPT: {float}: {str}: setup_keepalive: Seq: {int}, Ack: {int}, Win size: {int}",5
82,QQ({}) deny mach-lookup {},1
83,"RTC: Maintenance {date_time_1}, sleep {date_time_2}",1
84,[{var1}] [{var2}] {var3} entered,2
85,[{module}] {message},3
86,PMStats: Hibernate read took {time} ms,1
87,dnssd_clientstub ConnectToServer: connect() failed path:{path} Socket:{socket} Err:{err} Errno:{errno} {error_message},13
88,"pages {pages}, wire {wire}, act {act}, inact {inact}, cleaned {cleaned} spec {spec}, zf {zf}, throt {throt}, compr {compr}, xpmapped {xpmapped}",4
89,"VDCAssistant: Found a camera ({camera_id}) , but was not able to start it up ({error_code} -- ({error_type}) successful)",1
90,handle_will_sleep_auth_and_shield_windows: Reordering authw {authw}(2004) (lock state: {lock_state}),1
91,"{date} GoogleSoftwareUpdateAgent[{pid}/{memory_address}] [lvl={level}] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:{memory_address} ticketStore=<KSPersistentTicketStore:{memory_address} store=<KSKeyedPersistentStore:{memory_address} path=""{path}"" lockFile=<KSLockFile:{memory_address} path=""{path}"" locked={locked} > >> processor=<KSActionProcessor:{memory_address} delegate=<KSUpdateEngine:{memory_address}> isProces",1
92,-[{class} {method}] {message},20
93,Error returned from iconservicesagent: {},11
94,tcp_connection_tls_session_error_callback_imp {var1} __tcp_connection_tls_session_callback_write_block_invoke.{var2} error {var3},8
95,"SecOSStatusWith error:[{error_code}] Error Domain=NSOSStatusErrorDomain Code={error_code} ""{error_description}"" ({error_type}: {error_message}) UserInfo={{NSDescription={description}}}",5
96,send_datagram_available_ping: pid {pid} failed to act on a ping it dequeued before timing out.,26
97,WARNING: {variable} font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,1
98,Error returned from iconservicesagent: {error},2
99,"com.apple.ical.sync.x-coredata://{data}/CalDAVPrincipal/{data}: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {number} seconds. Ignoring.",1
100,"device_generate_desktop_screenshot: authw {authw}(2000), shield {shield}(2001)",3
101,[{module}] [{message}],7
102,"NETWORK: requery, {0}, {1}, {2}, {3}, {4}, {5}, fQueryRetries, {6}, fLastRetryTimestamp, {7}",3
103,Previous sleep cause: {cause},15
104,Wake reason: {reason} ({type}),5
105,{}::prePCIWake - power up complete - took {} us,15
106,network changed: v4({interface}-:{ipv4_address}) v6({interface}:{ipv6_address}) {flags},1
107,hibernate_page_list_setall found pageCount {pageCount},2
108,[{component}] [{severity}] [{message}] {details},2
109,[{module}][{function}] -- {message} -- {code},1
110,"{date} GoogleSoftwareUpdateAgent[{process_id}/{memory_address}] [lvl={log_level}] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""{product_id}"" using engine <KSUpdateEngine:{memory_address} ticketStore=<KSPersistentTicketStore:{memory_address} store=<KSKeyedPersistentStore:{memory_address} path=""{ticket_store_path}"" lockFile=<KSLockFile:{memory_address} path=""{lock_file_path}"" locked={is_locked} > >> processor=<KSActionProcessor:{memory_address} delegate=<KSUpdateE",1
111,YYYY/MM/DD HH:mm:ss.SSS | L | Component | File:Line:Function | Message.,1
112,Bluetooth -- {protocol} is supported - {action} {event},11
113,{:time} : Discoverable mode changed to {:status},2
114,tcp_connection_handle_connect_conditions_bad {int} failed: {int} - {str},9
115,Captive: {string} en{int}: {string},7
116,ARPT: {timestamp}: {interface}: setup_keepalive: Local IP: {ip_address},4
117,TBT W ({int}): {hex} [{char}],4
118,network changed: {network_change_type}* {network_change_details},3
119,QQ({id}) deny {action} {target},4
120,ASL Sender Statistics,9
121,YYYY-MM-DD HH:MM:SS.mmm {process_name}[{process_id}/{thread_id}] [lvl={log_level}] {method_name} {message},2
122,YYYY-MM-DD HH:mm:ss.SSS {processName}[{processId}/{threadId}] [lvl={logLevel}] -[{methodName}] {message},1
123,YYYY-MM-DD HH:MM:SS.sss {process}[{pid}/{thread}] [lvl={level}] {function}() {message},6
124,"Path not allowed in target domain: type = {type}, path = {path} error = {error}: {error_message}, origin = {origin}",15
125,[{time}] <<<< {module} >>>> {function}: ({address}) {message},4
126,[{time}] {function_name} signalled err={error_code} ({error_description}) ({additional_info}) at {file_path} line {line_number},4
127,KeychainGetICDPStatus: keychain: {status},14
128,host connection {connection} connection from pid {pid} invalidated,1
129,Error in {function}: {error_code},1
130,ARPT: {timestamp}: {interface}: {function}: {message},5
131,"ARPT: {timestamp}: IOPMPowerSource Information: onWake, SleepType: {sleep_type} Sleep, 'ExternalConnected': {external_connected}, 'TimeRemaining': {time_remaining},",3
132,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] {reason}. Dropping the journal record.,1
133,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {time} seconds. Ignoring.",3
134,ARPT: {timestamp}: {interface}: MDNS: IPV6 Addr: {address},9
135,network changed: v4({interface}-:{ipv4_address}) v6({interface}:{ipv6_address}) DNS! Proxy SMB,1
136,in6_unlink_ifa: IPv6 address {address} has no prefix,9
137,network changed: v4({interface}:{ipv4_address}) v6({interface}+:{ipv6_address}) DNS! Proxy SMB,2
138,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fe133460660 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey={url}, NSErrorFailingURLKey={url}, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey={url}, NSErrorFailingURLKey={url}",1
139,"com.apple.Safari.SafeBrowsing.Update: {variable1} told me to run this job; however, but the start time isn't for {variable2} seconds. {variable3}.",3
140,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType={UASuggestedActionType} (null)/(null) opts={opts} when={when} confidence={confidence} from=(null)/(null) (UABestAppSuggestionManager.m #319),10
141,"device_generate_lock_screen_screenshot: authw {authw}(2000)[{authw_coords}], shield {shield}(2001), dev [{dev_coords}]",2
142,[{time}] FigAgglomeratorSetObjectForKey signalled err={error_code} ({error_description}) ({additional_info}) at {file_path} line {line_number},9
143,{:time} : BTLE scanner Powered {status},4
144,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""{error_description}"" UserInfo={NSUnderlyingError=0x{underlying_error_address} {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""{error_description}"" UserInfo={{NSErrorFailingURLStringKey={failing_url}, NSErrorFailingURLKey={failing_url}, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription={error_description}}}, NSErrorFailingURLStringKey={failing_url}",1
145,ARPT: {timestamp}: AQM agg params {hex1} maxlen hi/lo {hex2} {hex3} minlen {hex4} adjlen {hex5},7
146,Received {Event} Event,15
147,Sandbox: QQ({}) deny({}) mach-lookup {},3
148,[{time}] <<<< {person} >>>> {action}: {message},12
149,sigio_handler: {variable} != 0,2
150,############################## {function_name},10
151,"Configuration Notice: ASL Module ""{module_name}"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",2
152,Wake reason: {reason},2
153,__:__:__.____ : Scanning mode {mode},4
154,{:time} : BTLE scanning stopped,2
155,wake time set {time} s,1
156,[{var1}] [{var2}] {var3}::getActuatorRef Calling {var4}() outside of {var5}.,1
157,"ARPT: {timestamp}: {interface}: setup_keepalive: Seq: {sequence}, Ack: {acknowledgement}, Win size: {window_size}",3
158,"NETWORK: requery, {0}, {1}, {2}, {3}, {4}, items, fQueryRetries, {5}, fLastRetryTimestamp, {6}",9
159,wake time set {-0.331349} s,1
160,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Original Seq: {original_seq}, Ack: {ack}, Win size: {win_size}",1
161,{}::handleWakeEvent_gated,15
162,ARPT: {timestamp}: {interface}: leaveModulePoweredForOffloads: {message},4
163,Sandbox: {process}(33119) {action}(1) {type} /{path},1
164,__:__:__.__ : Purged contact hashes,1
165,{:time} : BTLE scanning started,2
166,"IOPMrootDomain: idle cancel, state {state}",3
167,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Updated seq/ack/win from {source} Seq {seq}, Ack {ack}, Win size {win}",2
168,"hibernate_alloc_pages act {act}, inact {inact}, anon {anon}, throt {throt}, spec {spec}, wire {wire}, wireinit {wireinit}",2
169,hibernate_teardown_pmap_structs done: last_valid_compact_indx {last_valid_compact_indx},2
170,sigio_handler: {variable1} != 1,2
171,enabling pid={pid} for plug-in {plugin} {uuid} {path},1
172,"YYYY-MM-DD HH:mm:ss.SSS GoogleSoftwareUpdateAgent[NNNNN/0xXXXXXXXXX] [lvl=LVL] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:0xXXXXXXXXX ticketStore=<KSPersistentTicketStore:0xXXXXXXXXX store=<KSKeyedPersistentStore:0xXXXXXXXXX path=""PATH"" lockFile=<KSLockFile:0xXXXXXXXXX path=""PATH"" locked=NO > >> processor=<KSActionProcessor:0xXXXXXXXXX delegate=<KSUpdateEngine:0xXXXXXXXXX> isProcessing=N",1
173,YYYY-MM-DD HH:mm:ss.sss {string}[{int}/{hex}] [lvl={int}] -{string} {string},1
174,[{time}] FigAgglomeratorSetObjectForKey signalled err={err_code} ({err_name}) ({err_desc}) at {file_path} line {line_number},1
175,[{time}] {function} signalled err={error_code} ({error_description}) ({additional_info}) at {file_path} line {line_number},4
176,[${time}] <<<< ${user} >>>> ${action}: ${message},3
177,[{time}] {function_name} signalled err={error_code} ({error_description}) (invalidated) at {file_path} line {line_number},1
178,wake time set {-0.#######} s,1
179,"Opened file {file_path}, size {size}, extents {extents}, maxio {maxio} ssd {ssd}",2
180,"NETWORK: no response from server, {reason}, {error_code}, {action}, {retry_count}",1
181,"Unexpected payload found for message {messageNumber}, dataLen {dataLength}",2
182,CCFile::{functionName},17
183,en0: Supported channels {channel_list},4
184,ARPT: {timestamp}: AirPort_Brcm43xx::powerChange: {event} - {wake_type},11
185,Internal name did not resolve to internal address!,1
186,Service exited with abnormal code: {code},1
187,Central manager is not powered on,1
188,"CCFile::captureLogRun Skipping current file Dir file [{timestamp}]-CCIOReporter-002.xml, Current File [{timestamp}]-CCIOReporter-002.xml",1
189,__[{thread}] [{class} {method}]_block_invoke {code} - {message} {error} {ip},3
190,"CCFile::copyFile fileName is {fileName}, source path:{sourcePath}, dest path:{destPath}",18
191,ARPT: {timestamp}: framerdy {hexadecimal} bmccmd {integer} framecnt {integer},2
192,<IMMacNotificationCenterManager: {var1}>: DND Enabled: {var2},3
193,{:time} : Starting AirDrop server for user {:user_id} on {:action},1
194,Sandbox: {process}(33493) {action}(1) {type} /{path},1
195,ARPT: {timestamp}: {interface}: setup_keepalive: Remote IP: {ip_address},3
196,Sandbox: {process}(33508) {action}(1) {type} /{path},1
197,"<<<< {stream_name} >>>> {log_name}: ByteStream read of {num_bytes} bytes @ {timestamp} took {duration} secs. to complete, {num_reads} reads >= 1 sec.",1
198,ARPT: {timestamp}: {interface}: setup_keepalive: Remote IP: {ip},5
199,network changed: v4({interface}:{ipv4_address}) v6({interface}!:{ipv6_address}) DNS Proxy SMB,1
200,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry {action} any previous subscriptions,9
201,{}::{}() Exiting {}::{}(),6
202,Sandbox: {process}(33540) {action}(1) {type} /{path},1
203,"CCLogTap::profileRemoved, Owner: {owner}, Name: {name}",3
204,"<<<< {stream_name} >>>> {log_name}: ByteStream read of {num_bytes} bytes @ {time} took {duration} sec. to complete, {num_reads} reads >= {threshold} sec.",1
205,"CCFile::captureLogRun Skipping current file Dir file {dir_file}, Current File {current_file}",20
206,network changed: v6({interface}:{ipv6_address}) DNS- Proxy-,1
207,ARPT: {timestamp}: wlc_dump_aggfifo:,6
208,"CCFile::captureLogRun Skipping current file Dir file {file_name}, Current File {file_name}",5
209,[time] <<<< CATEGORY >>>> crabsFlumeHostUnavailable: [id] Byte flume reports host unavailable.,1
210,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from {hex_value} to {hex_value},5
211,doSaveChannels@{line_number}: Will write to: {file_path},6
212,tcp_connection_destination_perform_socket_connect {int} connectx to {ip_address}:{int}@{int} failed: [{int}] {string},2
213,tcp_connection_handle_connect_conditions_bad {var1} failed: {var2} - {var3},8
214,ARPT: {timestamp}: framerdy {value1} bmccmd {value2} framecnt {value3},5
215,Captive: {string} en0: {string},1
216,__[{thread}] [{class} {method}]_{block} {message} {app}.{process} {host}:{port},1
217,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from {mode1} to {mode2},1
218,"[{plugin}-ERROR] -{method}:[{parameter}] {error_description} UserInfo={NSUnderlyingError=0x{error_code} {Error Domain={error_domain} Code={error_code} ""{error_message}"" UserInfo={{NSErrorFailingURLStringKey={url}, NSErrorFailingURLKey={url}, _kCFStreamErrorCodeKey={stream_error_code}, _kCFStreamErrorD",1
219,hibernate image path: {path},2
220,hibernate_flush_memory: buffer_cache_gc freed up {number} wired pages,2
221,"hibernate_machine_init pagesDone {pagesDone} sum2 {sum2}, time: {time} ms, disk(0x20000) {diskSpeed} Mb/s, comp bytes: {compBytes} time: {compTime} ms {compSpeed} Mb/s, crypt bytes: {cryptBytes} time: {cryptTime} ms {cryptSpeed} Mb/s",2
222,ASSERTION FAILED: {var1} -[DriverServices {var2}:] line: {var3},4
223,hibernate_{process}_init {action},2
224,assertion failed: {var1}: com.apple.telemetry + {var2} [{var3}]: {var4},3
225,jemmytest,10
226,hibernate_setup({}) took {} ms,2
227,**** [{module}][{function}] -- calling {module}'s {action}() -- {param1} -- {param2} -- {param3} ****,2
228,**** [{module}][{action}] -- {message} -- {param1} -- {param2} -- {param3} ****,1
229,hciControllerOnline; HID devices? {number},1
230,INIT -- {string} is published,2
231,"polled file major {major}, minor {minor}, blocksize {blocksize}, pollers {pollers}",3
232,Build{Action}{Device}Entry exit,2
233,Wake reason: {reason} ({source}),4
234,{}: message service is terminated,1
235,[${time}] <<<< ${type} >>>> ${message},1
236,payload Data {hex1} {hex2},1
237,en{interface}: 802.11d country code set to '{country}'.,2
238,WARNING: {function_name} skipped {number} xpmapped pages,2
239,"hibernate_teardown: wired_pages {wired_pages}, free_pages {free_pages}, active_pages {active_pages}, inactive_pages {inactive_pages}, speculative_pages {speculative_pages}, cleaned_pages {cleaned_pages}, compressor_pages {compressor_pages}",1
240,ARPT: {timestamp}: framerdy {address} bmccmd {command} framecnt {count},1
241,"CCFile::copyFile fileName is [{fileName}], source path:{sourcePath}, dest path:{destPath}",2
242,hibernate_rebuild_pmap_structs done: last_valid_compact_indx {last_valid_compact_indx},1
243,Build{Action}{Device}Entry {Enter/Exit},2
244,({}:{}): {} for {},1
245,[time] <<<< {person} >>>> {action}: {message},1
246,YYYY-MM-DD HH:MM:SS.mmm GoogleSoftwareUpdateAgent[PID/TID] [lvl=LEVEL] -[CLASSNAME METHODNAME] MESSAGE,1
247,[${time}] <<<< ${person} >>>> ${action}: ${message},2
248,KeychainGetICDPStatus: status: {status},8
249,sigio_handler: {variable} != 1,1
250,__[{thread}] [{class} {method}]_{block} {message} {error} {ip},1
251,Sandbox: {process}(33959) {action}(1) {type} /{path},1
252,[time] <<<< [person] >>>> [action]: [message],4
253,[__ : __ : __.___] <<<< ____ >>>> figPlaybackBossPrerollCompleted: ____,1
254,ARPT: {timestamp}: AirPort_Brcm43xx::powerChange: {message},16
255,tcp_connection_tls_session_error_callback_imp {var1} tcp_connection_tls_session_handle_read_error.790 error {var2},1
256,"com.apple.SoftwareUpdate.Activity: {activity} told me to run this job; however, but the start time isn't for {seconds} seconds. Ignoring.",1
257,"com.apple.SoftwareUpdate.Activity: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds. Ignoring.",9
258,Checking iCDP status for DSID {dsid} (checkWithServer={checkWithServer}),1
259,ARPT: {float}: AirPort_Brcm43xx::powerChange: {string},1
260,network changed: v4({interface}-:{ipv4_address}) v6({interface}-:{ipv6_address}) {dns_status} {proxy_status},1
261,network changed: {network_event},1
262,tcp_connection_handle_connect_conditions_bad {number} failed: {number} - {message},1
263,YYYY-MM-DD HH:MM:SS.mmm {process}[{pid}/{thread}] [lvl={level}] {message},1
264,network changed: v4({interface}:{IP}) DNS+ Proxy+ SMB,1
265,-[SOAPParser:{var1} parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for {var2} ({var3}:{var4}),3
266,[{time}] <<<< {event} >>>> {function}: [{address}] {message},1
267,Sandbox: {process}(34685) {action}(1) {type} /{path},1
268,Sandbox: {process}(34738) {action}(1) {type} /{path},1
269,Sandbox: {process}(34830) {action}(1) {type} /{path},1
270,extension {extensionName} -> ({value}),1
271,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {time} seconds. Ignoring.",1
272,"[Accounts] Current connection, <NSXPCConnection: {connection_address}> connection from pid {pid}, doesn't have account access.",2
273,"[Accounts] Failed to update account with identifier {identifier}, error: {error}",2
274,Session {session_id} created,1
275,YYYY-MM-DD HH:MM:SS.mmm {process_name}[{process_id}/{thread_id}] [lvl={log_level}] -[{class_name} {method_name}] {message},1
276,"NETWORK: requery, {0}, {1}, {2}, {3}, {4}, {5}, items, fQueryRetries, {6}, fLastRetryTimestamp, {7}",1
277,Sandbox: {process}(35110) {action}(1) {type} /{path},2
278,kern_open_file_for_direct_io took {time} ms,1
279,__:__:__.____ : Starting AirDrop server for user {} on {},1
280,{:time} : Scanning mode {:mode},3
281,Sandbox: {process}(35150) {action}(1) {type} /{path},1
282,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq {seq}, Ack {ack}, Win size {win}",1
283,"com.apple.suggestions.harvest: {activity} told me to run this job; however, but the start time isn't for {seconds} seconds. Ignoring.",1
284,CGXDisplayDidWakeNotification [{number}]: posting kCGSDisplayDidWake,1
285,Peripheral manager is not powered on,3
286,Sandbox: {process}(35229) {action}(1) {type} /{path},1
287,Sandbox: {process}(35250) {action}(1) {type} /{path},1
288,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType={int} (null)/(null) opts={null} when={date} confidence={int} from={null}/{null} (UABestAppSuggestionManager.m #{int}),1
289,__[{thread}] [{class} {method}]_{block} {message} {error} {code} {ip}:{port},1
290,Sandbox: {process}(35286) {action}(1) {type} /{path},1
291,"NETWORK: no response from server, {var1}, 2, {var2}, 1",1
292,"PM response took {time} ms ({code}, {app})",1
293,FA||Url||taskID[{task_id}] dealloc,1
294,Cocoa scripting error for '{code}': {message}.,71
295,.{level} {message} for argument '{argument}' of command '{command}' in suite '{suite}': '{error}' is not a valid type name.,1
296,objc[{pid}]: Class {class_name} is implemented in both {path_1} and {path_2}. One of the two will be used. Which one is undefined.,1
297,Invalidating watch set.,1
298,objc[{pid}]: Class {class} is implemented in both {path1} and {path2}. One of the two will be used. Which one is undefined.,1
299,__:__:__.___ : Started generating hashes,1
300,"<<<< {stream_name} >>>> {log_name}: ByteStream read of {num_bytes} bytes @ {timestamp} took {duration} sec. to complete, {num_reads} reads >= {threshold} sec.",1
301,button report: {error_code},1
302,-{function} is deprecated for {class}. Please use {newFunction}.,1
303,-{methodName} is deprecated for {className}. Please use -{newMethodName}.,1
304,[{time}] ({source}) signalled err={error_code},1
305,[{time}] <<<< {module} >>>> {function}: [{address}] {message},1
306,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x{placeholder} {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorDomainKey=4, _k",1
307,"NETWORK: no response from server, {var1}, {var2}, {var3}, {var4}",1
308,"NETWORK: {string}, {int}, {int}, {int}, {int}, {int}, {string}, {string}, {int}, {string}, {float}",4
309,Failed to stop a scan - central is not powered on: {error_code},1
310,Sandbox: {process}(35773) {action}(1) {type} /{path},1
