,EventTemplate,Occurrences,Type
129,<log message>,1,True
116,Setting network parameters:  {},1,True
115,rpc.idmapd startup succeeded,1,True
114,Enabling unmasked SIMD FPU exception support... done.,1,True
113,"Dentry cache hash table entries: %d (order: %d, %d bytes)",1,True
112,Enabling fast FPU save and restore... done.,1,True
111,"Inode-cache hash table entries: %d (order: %d, %d bytes)",1,True
110,CPU: {CPU model} stepping {stepping number},1,True
109,{message},1,True
108,Starting pcmcia:  {},1,True
128,{kerneld} startup succeeded,1,True
132,PCI: Invalid ACPI-PCI IRQ routing table,1,True
130,{application} v{version} started,1,True
143,pci_hotplug: PCI Hot Plug PCI Core version: {},1,True
152,isapnp: Scanning for PnP cards...,1,True
151,Initializing Cryptographic API,1,True
150,SELinux: Registering netfilter hooks,1,True
149,"Dquot-cache hash table entries: %d (order %d, %d bytes)",1,True
148,VFS: Disk quotas dquot_{version},1,True
147,isapnp: {message},1,True
146,selinux_register_security: Registering secondary module capability,1,True
145,Bringing up loopback interface:  {},1,True
144,"Total HugeTLB memory allocated, {}",1,True
142,Real Time Clock Driver v{version},1,True
131,ACPI: ACPI tables contain no PCI IRQ routing entries,1,True
141,audit({timestamp}:{number}): initialized,1,True
140,HCI daemon ver {version} started,1,True
139,kernel.core_uses_pid = {},1,True
138,audit: initializing netlink socket (disabled),1,True
137,apm: BIOS version {version} Flags {flags} (Driver version {driver_version}),1,True
136,PCI: Using IRQ router PIIX/ICH [${vendor_id}/${device_id}] at ${address},1,True
135,Transparent bridge - {},1,True
134,PCI: Probing PCI hardware (bus {}),1,True
133,PCI: {message},1,True
107,Capability {} initialized,1,True
77,{size} HIGHMEM available.,1,True
105,Intel machine check reporting enabled on CPU#%d.,1,True
104,"""There is already a security framework initialized, register_security failed.""",1,True
79,On node {} totalpages: {},1,True
78,There is no log template provided in the given log message.,1,True
76,BIOS-e820: {start_address} - {end_address} ({type}),1,True
75,BIOS-e820: {start_address} - {end_address} ({status}),1,True
74,BIOS-e820: %s - %s (%s),1,True
73,"""BIOS-provided physical RAM map:""",1,True
72,Linux version {version} ({compiler}) ({gcc version}) #{number} {date},1,True
71,"DMA zone: %d pages, LIFO batch:%d",1,True
70,User {username} timed out after {timeout} seconds at {timestamp},1,True
69,"klogd {version}, log source = {source} started.",1,True
68,N/A (This is a simple log message with no variables or additional information to extract),1,True
67,{component} LOGIN ON {terminal},1,True
66,session opened for user {} by LOGIN(uid={}),1,True
65,imps2: Auto-detected intellimouse PS/2,1,True
64,*** info [mice.c(1766)]:,1,True
63,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root,1,True
62,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,1,True
61,Received SNMP packet(s) from {IP address},1,True
60,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<> user=root,1,True
59,{error_message},1,True
58,"Mount-cache hash table entries: {} (order: {}, {} bytes)",1,True
80,{Action} registering capabilities with the kernel,1,True
81,{process} startup succeeded,1,True
82,Detected {frequency} MHz processor.,1,True
94,"Normal zone: {} pages, LIFO batch:{}",1,True
103,SELinux: Starting in permissive mode,1,True
102,SELinux: Initializing.,1,True
101,Security Scaffold v{version} initialized,1,True
100,Calibrating delay loop... {BogoMIPS} BogoMIPS,1,True
99,"Memory: {}k/{}k available ({}k kernel code, {}k reserved, {}k data, {}k init, {}k highmem)",1,True
98,Console: colour VGA+ 80x25,1,True
97,rpc.statd startup {status},1,True
96,Using tsc for high-res timesource,1,True
95,Version {version} Starting,1,True
93,PID hash table entries: {} (order {}: {} bytes),1,True
83,"{Zone}: {Pages} pages, LIFO batch:{Batch}",1,True
92,{service} startup succeeded,1,True
91,"CPU 0 irqstacks, hard=%s soft=%s",1,True
90,Initializing CPU#{},1,True
89,mapped {} trampoline to {}.,1,True
88,Kernel command line: {command line options},1,True
87,Built {number} zonelists,1,True
86,N/A (This is not a complete log message and does not contain enough information to determine a log template),1,True
85,ACPI disabled because your bios is from {year} and too old,1,True
84,DMI {version} present.,1,True
153,Linux agpgart interface v0.100 (c) Dave Jones,1,True
